time,x,y,vx,vy,ax,ay
0.000000000000000000e+00,1.888235294117647101e+01,1.150588235294117645e+01,-7.058823529411739628e-01,1.941176470588228398e+00,-1.323529411764710062e+01,-9.705882352941124225e+00
1.000000000000000056e-01,1.881176470588235361e+01,1.169999999999999929e+01,-2.029411764705884025e+00,9.705882352941159752e-01,-1.500000000000006750e+01,-1.014705882352940058e+01
2.000000000000000111e-01,1.847647058823529420e+01,1.169999999999999929e+01,-3.705882352941188174e+00,-8.823529411765207442e-02,-7.058823529411737852e+00,-5.294117647058803833e+00
2.999999999999999889e-01,1.807058823529411740e+01,1.168235294117646994e+01,-3.441176470588231950e+00,-8.823529411764496899e-02,4.411764705882390558e+00,-4.411764705882246784e-01
4.000000000000000222e-01,1.778823529411764781e+01,1.168235294117646994e+01,-2.823529411764710062e+00,-1.764705882352970434e-01,2.647058823529345517e+00,-1.764705882352935351e+00
5.000000000000000000e-01,1.750588235294117467e+01,1.164705882352941124e+01,-2.911764705882362136e+00,-4.411764705882319504e-01,-1.323529411764639008e+00,8.823529411764855501e-01
5.999999999999999778e-01,1.720588235294117752e+01,1.159411764705882320e+01,-3.088235294117637864e+00,0.000000000000000000e+00,-3.970588235294060908e+00,3.529411764705871146e+00
6.999999999999999556e-01,1.688823529411764568e+01,1.164705882352941124e+01,-3.705882352941173963e+00,2.647058823529420124e-01,-4.411764705882392335e+00,-8.823529411764811092e-01
8.000000000000000444e-01,1.646470588235294130e+01,1.164705882352941124e+01,-3.970588235294115975e+00,-1.764705882352970434e-01,-6.750155989720951766e-14,-4.411764705882559312e-01
9.000000000000000222e-01,1.609411764705882320e+01,1.161176470588235254e+01,-3.705882352941188174e+00,1.764705882352899380e-01,4.852941176470581652e+00,2.647058823529456539e+00
1.000000000000000000e+00,1.572352941176470509e+01,1.168235294117646994e+01,-3.000000000000000000e+00,3.529411764705940868e-01,4.852941176470794815e+00,-3.088235294117603225e+00
1.100000000000000089e+00,1.549411764705882355e+01,1.168235294117646994e+01,-2.735294117647029566e+00,-4.411764705882319504e-01,-3.088235294117769314e+00,-1.764705882353027944e+00
1.199999999999999956e+00,1.517647058823529349e+01,1.159411764705882320e+01,-3.617647058823550310e+00,-1.421085471520200372e-14,-3.970588235294208346e+00,4.411764705882355031e+00
1.300000000000000044e+00,1.477058823529411669e+01,1.168235294117646994e+01,-3.529411764705869814e+00,4.411764705882390558e-01,1.764705882353041488e+00,2.573105127660623958e-14
1.399999999999999911e+00,1.447058823529411775e+01,1.168235294117646994e+01,-3.264705882352942012e+00,-7.105427357601001859e-15,8.823529411763857411e-01,-1.764705882352976651e+00
1.500000000000000000e+00,1.411764705882352899e+01,1.168235294117646994e+01,-3.352941176470594087e+00,8.823529411764496899e-02,-4.411764705881893178e-01,4.411764705882955107e-01
1.600000000000000089e+00,1.379999999999999893e+01,1.169999999999999929e+01,-3.352941176470579876e+00,8.823529411765207442e-02,-1.764705882352977540e+00,-3.088235294117652519e+00
1.699999999999999956e+00,1.344705882352941195e+01,1.169999999999999929e+01,-3.705882352941188174e+00,-5.294117647058840248e-01,-4.411764705882283977e-01,-4.411764705882021964e-01
1.800000000000000044e+00,1.305882352941176450e+01,1.159411764705882320e+01,-3.441176470588224845e+00,1.421085471520200372e-14,5.735294117647072198e+00,6.617647058823518336e+00
1.899999999999999911e+00,1.275882352941176379e+01,1.169999999999999929e+01,-2.558823529411775155e+00,7.941176470588189318e-01,7.058823529411782260e+00,-4.411764705882773030e-01
2.000000000000000000e+00,1.254705882352941160e+01,1.175294117647058734e+01,-2.029411764705869814e+00,-8.823529411764496899e-02,4.852941176470647378e+00,-4.852941176470575435e+00
2.100000000000000089e+00,1.235294117647058876e+01,1.168235294117646994e+01,-1.588235294117644969e+00,-1.764705882352970434e-01,1.323529411764566177e+00,2.205882352941122448e+00
2.200000000000000178e+00,1.222941176470588154e+01,1.171764705882352864e+01,-1.764705882352956223e+00,3.529411764705798760e-01,-2.205882352941126889e+00,4.411764705882427862e+00
2.299999999999999822e+00,1.200000000000000000e+01,1.175294117647058734e+01,-2.029411764705869814e+00,7.058823529411881736e-01,7.941176470588293235e+00,-3.088235294117584129e+00
