t=2.23s -> Pos=(6.72) m, Vel=(2.66) m/s, Acel=(-0.08) m/s^2
t=2.27s -> Pos=(6.82) m, Vel=(2.66) m/s, Acel=(-0.09) m/s^2
t=2.30s -> Pos=(6.91) m, Vel=(2.66) m/s, Acel=(-0.20) m/s^2
t=2.33s -> Pos=(7.00) m, Vel=(2.65) m/s, Acel=(-0.33) m/s^2
t=2.37s -> Pos=(7.08) m, Vel=(2.63) m/s, Acel=(-0.37) m/s^2
t=2.40s -> Pos=(7.18) m, Vel=(2.61) m/s, Acel=(-0.29) m/s^2
t=2.43s -> Pos=(7.26) m, Vel=(2.60) m/s, Acel=(-0.12) m/s^2
t=2.47s -> Pos=(7.34) m, Vel=(2.60) m/s, Acel=(0.06) m/s^2
t=2.50s -> Pos=(7.43) m, Vel=(2.61) m/s, Acel=(0.16) m/s^2
t=2.53s -> Pos=(7.51) m, Vel=(2.63) m/s, Acel=(0.12) m/s^2
t=2.57s -> Pos=(7.61) m, Vel=(2.63) m/s, Acel=(-0.05) m/s^2
t=2.60s -> Pos=(7.69) m, Vel=(2.63) m/s, Acel=(-0.29) m/s^2
t=2.63s -> Pos=(7.79) m, Vel=(2.61) m/s, Acel=(-0.49) m/s^2
t=2.67s -> Pos=(7.87) m, Vel=(2.59) m/s, Acel=(-0.60) m/s^2
t=2.70s -> Pos=(7.96) m, Vel=(2.56) m/s, Acel=(-0.58) m/s^2
t=2.73s -> Pos=(8.04) m, Vel=(2.54) m/s, Acel=(-0.47) m/s^2
t=2.77s -> Pos=(8.13) m, Vel=(2.53) m/s, Acel=(-0.32) m/s^2
t=2.80s -> Pos=(8.20) m, Vel=(2.52) m/s, Acel=(-0.23) m/s^2
t=2.83s -> Pos=(8.28) m, Vel=(2.52) m/s, Acel=(-0.22) m/s^2
t=2.87s -> Pos=(8.38) m, Vel=(2.52) m/s, Acel=(-0.28) m/s^2
t=2.90s -> Pos=(8.46) m, Vel=(2.51) m/s, Acel=(-0.38) m/s^2
t=2.93s -> Pos=(8.55) m, Vel=(2.49) m/s, Acel=(-0.47) m/s^2
t=2.97s -> Pos=(8.62) m, Vel=(2.47) m/s, Acel=(-0.51) m/s^2
t=3.00s -> Pos=(8.71) m, Vel=(2.45) m/s, Acel=(-0.49) m/s^2
t=3.03s -> Pos=(8.79) m, Vel=(2.43) m/s, Acel=(-0.42) m/s^2
t=3.07s -> Pos=(8.87) m, Vel=(2.42) m/s, Acel=(-0.35) m/s^2
t=3.10s -> Pos=(8.95) m, Vel=(2.41) m/s, Acel=(-0.30) m/s^2
t=3.13s -> Pos=(9.03) m, Vel=(2.40) m/s, Acel=(-0.28) m/s^2
t=3.17s -> Pos=(9.11) m, Vel=(2.40) m/s, Acel=(-0.29) m/s^2
t=3.20s -> Pos=(9.19) m, Vel=(2.38) m/s, Acel=(-0.33) m/s^2
t=3.23s -> Pos=(9.27) m, Vel=(2.37) m/s, Acel=(-0.40) m/s^2
t=3.27s -> Pos=(9.35) m, Vel=(2.36) m/s, Acel=(-0.50) m/s^2
t=3.30s -> Pos=(9.43) m, Vel=(2.34) m/s, Acel=(-0.67) m/s^2
t=3.33s -> Pos=(9.50) m, Vel=(2.32) m/s, Acel=(-0.91) m/s^2
t=3.37s -> Pos=(9.59) m, Vel=(2.29) m/s, Acel=(-1.22) m/s^2
t=3.40s -> Pos=(9.65) m, Vel=(2.24) m/s, Acel=(-1.56) m/s^2
t=3.43s -> Pos=(9.74) m, Vel=(2.19) m/s, Acel=(-1.85) m/s^2
t=3.47s -> Pos=(9.81) m, Vel=(2.11) m/s, Acel=(-2.04) m/s^2
t=3.50s -> Pos=(9.88) m, Vel=(2.03) m/s, Acel=(-2.10) m/s^2
t=3.53s -> Pos=(9.94) m, Vel=(1.96) m/s, Acel=(-2.07) m/s^2
t=3.57s -> Pos=(10.00) m, Vel=(1.89) m/s, Acel=(-1.99) m/s^2
t=3.60s -> Pos=(10.07) m, Vel=(1.83) m/s, Acel=(-1.98) m/s^2
t=3.63s -> Pos=(10.13) m, Vel=(1.77) m/s, Acel=(-2.11) m/s^2
t=3.67s -> Pos=(10.19) m, Vel=(1.71) m/s, Acel=(-2.38) m/s^2
t=3.70s -> Pos=(10.24) m, Vel=(1.63) m/s, Acel=(-2.74) m/s^2
t=3.73s -> Pos=(10.30) m, Vel=(1.52) m/s, Acel=(-3.15) m/s^2
t=3.77s -> Pos=(10.35) m, Vel=(1.41) m/s, Acel=(-3.58) m/s^2
t=3.80s -> Pos=(10.39) m, Vel=(1.29) m/s, Acel=(-4.00) m/s^2
t=3.83s -> Pos=(10.43) m, Vel=(1.15) m/s, Acel=(-4.28) m/s^2
t=3.87s -> Pos=(10.47) m, Vel=(0.99) m/s, Acel=(-4.31) m/s^2
t=3.90s -> Pos=(10.50) m, Vel=(0.83) m/s, Acel=(-4.11) m/s^2
t=3.93s -> Pos=(10.53) m, Vel=(0.67) m/s, Acel=(-3.74) m/s^2
t=3.97s -> Pos=(10.56) m, Vel=(0.58) m/s, Acel=(-3.45) m/s^2
