t=2.23s -> Pos=(6.27) m, Vel=(2.18) m/s, Acel=(-0.40) m/s^2
t=2.27s -> Pos=(6.34) m, Vel=(2.17) m/s, Acel=(-0.58) m/s^2
t=2.30s -> Pos=(6.42) m, Vel=(2.14) m/s, Acel=(-0.71) m/s^2
t=2.33s -> Pos=(6.48) m, Vel=(2.10) m/s, Acel=(-0.67) m/s^2
t=2.37s -> Pos=(6.56) m, Vel=(2.07) m/s, Acel=(-0.41) m/s^2
t=2.40s -> Pos=(6.62) m, Vel=(2.06) m/s, Acel=(-0.01) m/s^2
t=2.43s -> Pos=(6.68) m, Vel=(2.07) m/s, Acel=(0.43) m/s^2
t=2.47s -> Pos=(6.76) m, Vel=(2.10) m/s, Acel=(0.79) m/s^2
t=2.50s -> Pos=(6.82) m, Vel=(2.14) m/s, Acel=(0.91) m/s^2
t=2.53s -> Pos=(6.89) m, Vel=(2.18) m/s, Acel=(0.75) m/s^2
t=2.57s -> Pos=(6.97) m, Vel=(2.21) m/s, Acel=(0.35) m/s^2
t=2.60s -> Pos=(7.05) m, Vel=(2.22) m/s, Acel=(-0.17) m/s^2
t=2.63s -> Pos=(7.12) m, Vel=(2.20) m/s, Acel=(-0.68) m/s^2
t=2.67s -> Pos=(7.20) m, Vel=(2.16) m/s, Acel=(-1.06) m/s^2
t=2.70s -> Pos=(7.27) m, Vel=(2.11) m/s, Acel=(-1.18) m/s^2
t=2.73s -> Pos=(7.34) m, Vel=(2.06) m/s, Acel=(-1.04) m/s^2
t=2.77s -> Pos=(7.41) m, Vel=(2.02) m/s, Acel=(-0.68) m/s^2
t=2.80s -> Pos=(7.47) m, Vel=(2.00) m/s, Acel=(-0.23) m/s^2
t=2.83s -> Pos=(7.53) m, Vel=(2.01) m/s, Acel=(0.19) m/s^2
t=2.87s -> Pos=(7.60) m, Vel=(2.03) m/s, Acel=(0.46) m/s^2
t=2.90s -> Pos=(7.67) m, Vel=(2.06) m/s, Acel=(0.51) m/s^2
t=2.93s -> Pos=(7.74) m, Vel=(2.08) m/s, Acel=(0.35) m/s^2
t=2.97s -> Pos=(7.81) m, Vel=(2.09) m/s, Acel=(0.06) m/s^2
t=3.00s -> Pos=(7.88) m, Vel=(2.09) m/s, Acel=(-0.25) m/s^2
t=3.03s -> Pos=(7.96) m, Vel=(2.07) m/s, Acel=(-0.47) m/s^2
t=3.07s -> Pos=(8.02) m, Vel=(2.04) m/s, Acel=(-0.52) m/s^2
t=3.10s -> Pos=(8.09) m, Vel=(2.02) m/s, Acel=(-0.37) m/s^2
t=3.13s -> Pos=(8.15) m, Vel=(2.00) m/s, Acel=(-0.06) m/s^2
t=3.17s -> Pos=(8.22) m, Vel=(2.01) m/s, Acel=(0.31) m/s^2
t=3.20s -> Pos=(8.28) m, Vel=(2.03) m/s, Acel=(0.60) m/s^2
t=3.23s -> Pos=(8.35) m, Vel=(2.06) m/s, Acel=(0.69) m/s^2
t=3.27s -> Pos=(8.41) m, Vel=(2.10) m/s, Acel=(0.54) m/s^2
t=3.30s -> Pos=(8.50) m, Vel=(2.12) m/s, Acel=(0.22) m/s^2
t=3.33s -> Pos=(8.57) m, Vel=(2.12) m/s, Acel=(-0.15) m/s^2
t=3.37s -> Pos=(8.64) m, Vel=(2.10) m/s, Acel=(-0.43) m/s^2
t=3.40s -> Pos=(8.71) m, Vel=(2.07) m/s, Acel=(-0.52) m/s^2
t=3.43s -> Pos=(8.77) m, Vel=(2.04) m/s, Acel=(-0.41) m/s^2
t=3.47s -> Pos=(8.85) m, Vel=(2.03) m/s, Acel=(-0.20) m/s^2
t=3.50s -> Pos=(8.90) m, Vel=(2.03) m/s, Acel=(-0.02) m/s^2
t=3.53s -> Pos=(8.97) m, Vel=(2.05) m/s, Acel=(0.04) m/s^2
t=3.57s -> Pos=(9.05) m, Vel=(2.05) m/s, Acel=(-0.02) m/s^2
t=3.60s -> Pos=(9.12) m, Vel=(2.05) m/s, Acel=(-0.19) m/s^2
t=3.63s -> Pos=(9.18) m, Vel=(2.04) m/s, Acel=(-0.34) m/s^2
t=3.67s -> Pos=(9.25) m, Vel=(2.02) m/s, Acel=(-0.38) m/s^2
t=3.70s -> Pos=(9.32) m, Vel=(2.00) m/s, Acel=(-0.27) m/s^2
t=3.73s -> Pos=(9.38) m, Vel=(1.99) m/s, Acel=(-0.03) m/s^2
t=3.77s -> Pos=(9.45) m, Vel=(1.99) m/s, Acel=(0.25) m/s^2
t=3.80s -> Pos=(9.52) m, Vel=(2.01) m/s, Acel=(0.52) m/s^2
t=3.83s -> Pos=(9.58) m, Vel=(2.03) m/s, Acel=(0.68) m/s^2
t=3.87s -> Pos=(9.65) m, Vel=(2.06) m/s, Acel=(0.71) m/s^2
t=3.90s -> Pos=(9.72) m, Vel=(2.09) m/s, Acel=(0.56) m/s^2
t=3.93s -> Pos=(9.79) m, Vel=(2.11) m/s, Acel=(0.25) m/s^2
t=3.97s -> Pos=(9.86) m, Vel=(2.12) m/s, Acel=(-0.15) m/s^2
t=4.00s -> Pos=(9.94) m, Vel=(2.11) m/s, Acel=(-0.55) m/s^2
t=4.03s -> Pos=(10.01) m, Vel=(2.08) m/s, Acel=(-0.87) m/s^2
t=4.07s -> Pos=(10.07) m, Vel=(2.03) m/s, Acel=(-0.99) m/s^2
t=4.10s -> Pos=(10.14) m, Vel=(1.99) m/s, Acel=(-0.88) m/s^2
t=4.13s -> Pos=(10.21) m, Vel=(1.95) m/s, Acel=(-0.59) m/s^2
t=4.17s -> Pos=(10.26) m, Vel=(1.94) m/s, Acel=(-0.25) m/s^2
t=4.20s -> Pos=(10.33) m, Vel=(1.95) m/s, Acel=(0.05) m/s^2
t=4.23s -> Pos=(10.39) m, Vel=(1.96) m/s, Acel=(0.21) m/s^2
t=4.27s -> Pos=(10.47) m, Vel=(1.98) m/s, Acel=(0.21) m/s^2
t=4.30s -> Pos=(10.52) m, Vel=(1.98) m/s, Acel=(0.08) m/s^2
