t=2.23s -> Pos=(2.30) m, Vel=(1.81) m/s, Acel=(-0.05) m/s^2
t=2.27s -> Pos=(2.36) m, Vel=(1.80) m/s, Acel=(0.04) m/s^2
t=2.30s -> Pos=(2.42) m, Vel=(1.80) m/s, Acel=(0.25) m/s^2
t=2.33s -> Pos=(2.48) m, Vel=(1.81) m/s, Acel=(0.54) m/s^2
t=2.37s -> Pos=(2.54) m, Vel=(1.83) m/s, Acel=(0.84) m/s^2
t=2.40s -> Pos=(2.60) m, Vel=(1.87) m/s, Acel=(1.09) m/s^2
t=2.43s -> Pos=(2.66) m, Vel=(1.91) m/s, Acel=(1.20) m/s^2
t=2.47s -> Pos=(2.73) m, Vel=(1.96) m/s, Acel=(1.16) m/s^2
t=2.50s -> Pos=(2.79) m, Vel=(2.00) m/s, Acel=(0.99) m/s^2
t=2.53s -> Pos=(2.87) m, Vel=(2.04) m/s, Acel=(0.71) m/s^2
t=2.57s -> Pos=(2.93) m, Vel=(2.05) m/s, Acel=(0.42) m/s^2
t=2.60s -> Pos=(3.00) m, Vel=(2.06) m/s, Acel=(0.19) m/s^2
t=2.63s -> Pos=(3.07) m, Vel=(2.06) m/s, Acel=(0.07) m/s^2
t=2.67s -> Pos=(3.14) m, Vel=(2.05) m/s, Acel=(0.07) m/s^2
t=2.70s -> Pos=(3.20) m, Vel=(2.05) m/s, Acel=(0.15) m/s^2
t=2.73s -> Pos=(3.27) m, Vel=(2.06) m/s, Acel=(0.22) m/s^2
t=2.77s -> Pos=(3.34) m, Vel=(2.07) m/s, Acel=(0.21) m/s^2
t=2.80s -> Pos=(3.41) m, Vel=(2.09) m/s, Acel=(0.08) m/s^2
t=2.83s -> Pos=(3.48) m, Vel=(2.09) m/s, Acel=(-0.15) m/s^2
t=2.87s -> Pos=(3.56) m, Vel=(2.08) m/s, Acel=(-0.42) m/s^2
t=2.90s -> Pos=(3.62) m, Vel=(2.06) m/s, Acel=(-0.65) m/s^2
t=2.93s -> Pos=(3.70) m, Vel=(2.03) m/s, Acel=(-0.74) m/s^2
t=2.97s -> Pos=(3.76) m, Vel=(1.99) m/s, Acel=(-0.68) m/s^2
t=3.00s -> Pos=(3.82) m, Vel=(1.97) m/s, Acel=(-0.51) m/s^2
t=3.03s -> Pos=(3.89) m, Vel=(1.96) m/s, Acel=(-0.30) m/s^2
t=3.07s -> Pos=(3.95) m, Vel=(1.96) m/s, Acel=(-0.13) m/s^2
t=3.10s -> Pos=(4.01) m, Vel=(1.96) m/s, Acel=(-0.06) m/s^2
t=3.13s -> Pos=(4.08) m, Vel=(1.96) m/s, Acel=(-0.08) m/s^2
t=3.17s -> Pos=(4.15) m, Vel=(1.96) m/s, Acel=(-0.16) m/s^2
t=3.20s -> Pos=(4.21) m, Vel=(1.95) m/s, Acel=(-0.24) m/s^2
t=3.23s -> Pos=(4.28) m, Vel=(1.94) m/s, Acel=(-0.26) m/s^2
t=3.27s -> Pos=(4.35) m, Vel=(1.92) m/s, Acel=(-0.22) m/s^2
t=3.30s -> Pos=(4.40) m, Vel=(1.92) m/s, Acel=(-0.15) m/s^2
t=3.33s -> Pos=(4.47) m, Vel=(1.92) m/s, Acel=(-0.09) m/s^2
t=3.37s -> Pos=(4.53) m, Vel=(1.92) m/s, Acel=(-0.07) m/s^2
t=3.40s -> Pos=(4.60) m, Vel=(1.92) m/s, Acel=(-0.12) m/s^2
t=3.43s -> Pos=(4.67) m, Vel=(1.91) m/s, Acel=(-0.22) m/s^2
t=3.47s -> Pos=(4.72) m, Vel=(1.90) m/s, Acel=(-0.32) m/s^2
t=3.50s -> Pos=(4.79) m, Vel=(1.89) m/s, Acel=(-0.38) m/s^2
t=3.53s -> Pos=(4.86) m, Vel=(1.87) m/s, Acel=(-0.38) m/s^2
t=3.57s -> Pos=(4.91) m, Vel=(1.86) m/s, Acel=(-0.31) m/s^2
t=3.60s -> Pos=(4.98) m, Vel=(1.85) m/s, Acel=(-0.19) m/s^2
t=3.63s -> Pos=(5.04) m, Vel=(1.84) m/s, Acel=(-0.08) m/s^2
t=3.67s -> Pos=(5.09) m, Vel=(1.85) m/s, Acel=(-0.00) m/s^2
t=3.70s -> Pos=(5.16) m, Vel=(1.85) m/s, Acel=(0.01) m/s^2
t=3.73s -> Pos=(5.23) m, Vel=(1.85) m/s, Acel=(-0.03) m/s^2
t=3.77s -> Pos=(5.28) m, Vel=(1.85) m/s, Acel=(-0.10) m/s^2
t=3.80s -> Pos=(5.34) m, Vel=(1.84) m/s, Acel=(-0.18) m/s^2
t=3.83s -> Pos=(5.41) m, Vel=(1.84) m/s, Acel=(-0.24) m/s^2
