t=2.23s -> Pos=(3.51) m, Vel=(2.03) m/s, Acel=(0.41) m/s^2
t=2.27s -> Pos=(3.57) m, Vel=(2.04) m/s, Acel=(0.45) m/s^2
t=2.30s -> Pos=(3.61) m, Vel=(2.06) m/s, Acel=(0.50) m/s^2
t=2.33s -> Pos=(3.71) m, Vel=(2.08) m/s, Acel=(0.54) m/s^2
t=2.37s -> Pos=(3.77) m, Vel=(2.10) m/s, Acel=(0.54) m/s^2
t=2.40s -> Pos=(3.82) m, Vel=(2.12) m/s, Acel=(0.55) m/s^2
t=2.43s -> Pos=(3.92) m, Vel=(2.14) m/s, Acel=(0.62) m/s^2
t=2.47s -> Pos=(3.99) m, Vel=(2.14) m/s, Acel=(0.78) m/s^2
t=2.50s -> Pos=(4.03) m, Vel=(2.17) m/s, Acel=(1.01) m/s^2
t=2.53s -> Pos=(4.13) m, Vel=(2.22) m/s, Acel=(1.27) m/s^2
t=2.57s -> Pos=(4.21) m, Vel=(2.27) m/s, Acel=(1.40) m/s^2
t=2.60s -> Pos=(4.25) m, Vel=(2.32) m/s, Acel=(1.30) m/s^2
t=2.63s -> Pos=(4.36) m, Vel=(2.38) m/s, Acel=(1.02) m/s^2
t=2.67s -> Pos=(4.44) m, Vel=(2.41) m/s, Acel=(0.67) m/s^2
t=2.70s -> Pos=(4.52) m, Vel=(2.41) m/s, Acel=(0.33) m/s^2
t=2.73s -> Pos=(4.60) m, Vel=(2.41) m/s, Acel=(0.09) m/s^2
t=2.77s -> Pos=(4.67) m, Vel=(2.41) m/s, Acel=(0.01) m/s^2
t=2.80s -> Pos=(4.76) m, Vel=(2.40) m/s, Acel=(0.05) m/s^2
t=2.83s -> Pos=(4.84) m, Vel=(2.41) m/s, Acel=(0.12) m/s^2
t=2.87s -> Pos=(4.91) m, Vel=(2.42) m/s, Acel=(0.17) m/s^2
t=2.90s -> Pos=(5.00) m, Vel=(2.42) m/s, Acel=(0.22) m/s^2
t=2.93s -> Pos=(5.09) m, Vel=(2.43) m/s, Acel=(0.23) m/s^2
t=2.97s -> Pos=(5.15) m, Vel=(2.44) m/s, Acel=(0.21) m/s^2
t=3.00s -> Pos=(5.24) m, Vel=(2.45) m/s, Acel=(0.14) m/s^2
t=3.03s -> Pos=(5.32) m, Vel=(2.45) m/s, Acel=(0.04) m/s^2
t=3.07s -> Pos=(5.40) m, Vel=(2.45) m/s, Acel=(-0.07) m/s^2
t=3.10s -> Pos=(5.50) m, Vel=(2.45) m/s, Acel=(-0.17) m/s^2
t=3.13s -> Pos=(5.57) m, Vel=(2.44) m/s, Acel=(-0.25) m/s^2
t=3.17s -> Pos=(5.64) m, Vel=(2.43) m/s, Acel=(-0.27) m/s^2
t=3.20s -> Pos=(5.73) m, Vel=(2.42) m/s, Acel=(-0.25) m/s^2
t=3.23s -> Pos=(5.81) m, Vel=(2.41) m/s, Acel=(-0.20) m/s^2
t=3.27s -> Pos=(5.89) m, Vel=(2.40) m/s, Acel=(-0.15) m/s^2
t=3.30s -> Pos=(5.97) m, Vel=(2.40) m/s, Acel=(-0.09) m/s^2
t=3.33s -> Pos=(6.05) m, Vel=(2.40) m/s, Acel=(-0.02) m/s^2
t=3.37s -> Pos=(6.13) m, Vel=(2.40) m/s, Acel=(0.04) m/s^2
t=3.40s -> Pos=(6.21) m, Vel=(2.40) m/s, Acel=(0.08) m/s^2
t=3.43s -> Pos=(6.28) m, Vel=(2.41) m/s, Acel=(0.09) m/s^2
t=3.47s -> Pos=(6.38) m, Vel=(2.41) m/s, Acel=(0.06) m/s^2
t=3.50s -> Pos=(6.45) m, Vel=(2.41) m/s, Acel=(-0.00) m/s^2
t=3.53s -> Pos=(6.53) m, Vel=(2.41) m/s, Acel=(-0.08) m/s^2
t=3.57s -> Pos=(6.61) m, Vel=(2.41) m/s, Acel=(-0.13) m/s^2
t=3.60s -> Pos=(6.70) m, Vel=(2.40) m/s, Acel=(-0.13) m/s^2
t=3.63s -> Pos=(6.77) m, Vel=(2.39) m/s, Acel=(-0.09) m/s^2
t=3.67s -> Pos=(6.85) m, Vel=(2.39) m/s, Acel=(0.02) m/s^2
t=3.70s -> Pos=(6.93) m, Vel=(2.39) m/s, Acel=(0.16) m/s^2
t=3.73s -> Pos=(7.01) m, Vel=(2.40) m/s, Acel=(0.28) m/s^2
t=3.77s -> Pos=(7.08) m, Vel=(2.41) m/s, Acel=(0.34) m/s^2
t=3.80s -> Pos=(7.17) m, Vel=(2.43) m/s, Acel=(0.32) m/s^2
t=3.83s -> Pos=(7.25) m, Vel=(2.44) m/s, Acel=(0.21) m/s^2
t=3.87s -> Pos=(7.33) m, Vel=(2.45) m/s, Acel=(0.03) m/s^2
t=3.90s -> Pos=(7.42) m, Vel=(2.45) m/s, Acel=(-0.14) m/s^2
t=3.93s -> Pos=(7.50) m, Vel=(2.43) m/s, Acel=(-0.26) m/s^2
t=3.97s -> Pos=(7.58) m, Vel=(2.42) m/s, Acel=(-0.32) m/s^2
t=4.00s -> Pos=(7.66) m, Vel=(2.41) m/s, Acel=(-0.29) m/s^2
t=4.03s -> Pos=(7.74) m, Vel=(2.40) m/s, Acel=(-0.18) m/s^2
t=4.07s -> Pos=(7.82) m, Vel=(2.39) m/s, Acel=(-0.04) m/s^2
t=4.10s -> Pos=(7.89) m, Vel=(2.39) m/s, Acel=(0.09) m/s^2
t=4.13s -> Pos=(7.97) m, Vel=(2.40) m/s, Acel=(0.20) m/s^2
t=4.17s -> Pos=(8.06) m, Vel=(2.41) m/s, Acel=(0.28) m/s^2
t=4.20s -> Pos=(8.13) m, Vel=(2.42) m/s, Acel=(0.31) m/s^2
t=4.23s -> Pos=(8.21) m, Vel=(2.43) m/s, Acel=(0.27) m/s^2
t=4.27s -> Pos=(8.30) m, Vel=(2.45) m/s, Acel=(0.20) m/s^2
t=4.30s -> Pos=(8.38) m, Vel=(2.45) m/s, Acel=(0.09) m/s^2
t=4.33s -> Pos=(8.46) m, Vel=(2.45) m/s, Acel=(-0.04) m/s^2
t=4.37s -> Pos=(8.55) m, Vel=(2.45) m/s, Acel=(-0.15) m/s^2
t=4.40s -> Pos=(8.63) m, Vel=(2.44) m/s, Acel=(-0.20) m/s^2
