t=2.23s -> Pos=(6.35) m, Vel=(2.19) m/s, Acel=(-2.54) m/s^2
t=2.27s -> Pos=(6.42) m, Vel=(2.08) m/s, Acel=(-2.76) m/s^2
t=2.30s -> Pos=(6.48) m, Vel=(1.98) m/s, Acel=(-2.78) m/s^2
t=2.33s -> Pos=(6.55) m, Vel=(1.88) m/s, Acel=(-2.67) m/s^2
t=2.37s -> Pos=(6.60) m, Vel=(1.80) m/s, Acel=(-2.53) m/s^2
t=2.40s -> Pos=(6.66) m, Vel=(1.73) m/s, Acel=(-2.49) m/s^2
t=2.43s -> Pos=(6.72) m, Vel=(1.65) m/s, Acel=(-2.60) m/s^2
t=2.47s -> Pos=(6.78) m, Vel=(1.57) m/s, Acel=(-2.85) m/s^2
t=2.50s -> Pos=(6.83) m, Vel=(1.46) m/s, Acel=(-3.14) m/s^2
t=2.53s -> Pos=(6.88) m, Vel=(1.35) m/s, Acel=(-3.35) m/s^2
t=2.57s -> Pos=(6.91) m, Vel=(1.23) m/s, Acel=(-3.40) m/s^2
t=2.60s -> Pos=(6.96) m, Vel=(1.11) m/s, Acel=(-3.29) m/s^2
t=2.63s -> Pos=(6.99) m, Vel=(1.00) m/s, Acel=(-3.09) m/s^2
t=2.67s -> Pos=(7.02) m, Vel=(0.90) m/s, Acel=(-2.92) m/s^2
t=2.70s -> Pos=(7.05) m, Vel=(0.82) m/s, Acel=(-2.83) m/s^2
t=2.73s -> Pos=(7.07) m, Vel=(0.73) m/s, Acel=(-2.79) m/s^2
t=2.77s -> Pos=(7.10) m, Vel=(0.63) m/s, Acel=(-2.72) m/s^2
t=2.80s -> Pos=(7.11) m, Vel=(0.53) m/s, Acel=(-2.58) m/s^2
t=2.83s -> Pos=(7.14) m, Vel=(0.43) m/s, Acel=(-2.36) m/s^2
t=2.87s -> Pos=(7.15) m, Vel=(0.37) m/s, Acel=(-2.20) m/s^2
