t=2.23s -> Pos=(6.78) m, Vel=(2.31) m/s, Acel=(-0.34) m/s^2
t=2.27s -> Pos=(6.85) m, Vel=(2.30) m/s, Acel=(-0.12) m/s^2
t=2.30s -> Pos=(6.93) m, Vel=(2.30) m/s, Acel=(0.04) m/s^2
t=2.33s -> Pos=(7.01) m, Vel=(2.31) m/s, Acel=(0.13) m/s^2
t=2.37s -> Pos=(7.09) m, Vel=(2.32) m/s, Acel=(0.13) m/s^2
t=2.40s -> Pos=(7.16) m, Vel=(2.33) m/s, Acel=(0.06) m/s^2
t=2.43s -> Pos=(7.24) m, Vel=(2.33) m/s, Acel=(0.00) m/s^2
t=2.47s -> Pos=(7.32) m, Vel=(2.32) m/s, Acel=(-0.00) m/s^2
t=2.50s -> Pos=(7.39) m, Vel=(2.32) m/s, Acel=(0.06) m/s^2
t=2.53s -> Pos=(7.48) m, Vel=(2.32) m/s, Acel=(0.16) m/s^2
t=2.57s -> Pos=(7.55) m, Vel=(2.33) m/s, Acel=(0.28) m/s^2
t=2.60s -> Pos=(7.63) m, Vel=(2.34) m/s, Acel=(0.35) m/s^2
t=2.63s -> Pos=(7.70) m, Vel=(2.36) m/s, Acel=(0.35) m/s^2
t=2.67s -> Pos=(7.78) m, Vel=(2.37) m/s, Acel=(0.28) m/s^2
t=2.70s -> Pos=(7.87) m, Vel=(2.38) m/s, Acel=(0.18) m/s^2
t=2.73s -> Pos=(7.95) m, Vel=(2.38) m/s, Acel=(0.08) m/s^2
t=2.77s -> Pos=(8.03) m, Vel=(2.38) m/s, Acel=(-0.01) m/s^2
t=2.80s -> Pos=(8.09) m, Vel=(2.38) m/s, Acel=(-0.09) m/s^2
t=2.83s -> Pos=(8.18) m, Vel=(2.38) m/s, Acel=(-0.14) m/s^2
t=2.87s -> Pos=(8.26) m, Vel=(2.37) m/s, Acel=(-0.15) m/s^2
t=2.90s -> Pos=(8.35) m, Vel=(2.36) m/s, Acel=(-0.13) m/s^2
t=2.93s -> Pos=(8.42) m, Vel=(2.36) m/s, Acel=(-0.09) m/s^2
t=2.97s -> Pos=(8.49) m, Vel=(2.35) m/s, Acel=(-0.05) m/s^2
t=3.00s -> Pos=(8.57) m, Vel=(2.36) m/s, Acel=(-0.05) m/s^2
t=3.03s -> Pos=(8.66) m, Vel=(2.36) m/s, Acel=(-0.17) m/s^2
t=3.07s -> Pos=(8.73) m, Vel=(2.36) m/s, Acel=(-0.43) m/s^2
t=3.10s -> Pos=(8.81) m, Vel=(2.34) m/s, Acel=(-0.81) m/s^2
t=3.13s -> Pos=(8.89) m, Vel=(2.31) m/s, Acel=(-1.25) m/s^2
t=3.17s -> Pos=(8.97) m, Vel=(2.26) m/s, Acel=(-1.63) m/s^2
t=3.20s -> Pos=(9.05) m, Vel=(2.19) m/s, Acel=(-1.88) m/s^2
t=3.23s -> Pos=(9.12) m, Vel=(2.11) m/s, Acel=(-1.93) m/s^2
t=3.27s -> Pos=(9.19) m, Vel=(2.04) m/s, Acel=(-1.81) m/s^2
t=3.30s -> Pos=(9.25) m, Vel=(1.98) m/s, Acel=(-1.62) m/s^2
t=3.33s -> Pos=(9.31) m, Vel=(1.94) m/s, Acel=(-1.50) m/s^2
t=3.37s -> Pos=(9.37) m, Vel=(1.90) m/s, Acel=(-1.51) m/s^2
t=3.40s -> Pos=(9.44) m, Vel=(1.86) m/s, Acel=(-1.67) m/s^2
t=3.43s -> Pos=(9.51) m, Vel=(1.80) m/s, Acel=(-1.91) m/s^2
t=3.47s -> Pos=(9.56) m, Vel=(1.72) m/s, Acel=(-2.15) m/s^2
t=3.50s -> Pos=(9.62) m, Vel=(1.64) m/s, Acel=(-2.32) m/s^2
t=3.53s -> Pos=(9.68) m, Vel=(1.56) m/s, Acel=(-2.41) m/s^2
t=3.57s -> Pos=(9.73) m, Vel=(1.48) m/s, Acel=(-2.49) m/s^2
t=3.60s -> Pos=(9.77) m, Vel=(1.40) m/s, Acel=(-2.62) m/s^2
t=3.63s -> Pos=(9.82) m, Vel=(1.32) m/s, Acel=(-2.80) m/s^2
t=3.67s -> Pos=(9.86) m, Vel=(1.22) m/s, Acel=(-3.01) m/s^2
t=3.70s -> Pos=(9.91) m, Vel=(1.11) m/s, Acel=(-3.19) m/s^2
t=3.73s -> Pos=(9.94) m, Vel=(1.00) m/s, Acel=(-3.26) m/s^2
t=3.77s -> Pos=(9.97) m, Vel=(0.88) m/s, Acel=(-3.18) m/s^2
t=3.80s -> Pos=(9.99) m, Vel=(0.77) m/s, Acel=(-2.97) m/s^2
t=3.83s -> Pos=(10.02) m, Vel=(0.68) m/s, Acel=(-2.71) m/s^2
t=3.87s -> Pos=(10.04) m, Vel=(0.60) m/s, Acel=(-2.45) m/s^2
t=3.90s -> Pos=(10.06) m, Vel=(0.52) m/s, Acel=(-2.24) m/s^2
t=3.93s -> Pos=(10.07) m, Vel=(0.45) m/s, Acel=(-2.09) m/s^2
t=3.97s -> Pos=(10.09) m, Vel=(0.39) m/s, Acel=(-1.97) m/s^2
t=4.00s -> Pos=(10.10) m, Vel=(0.32) m/s, Acel=(-1.84) m/s^2
t=4.03s -> Pos=(10.11) m, Vel=(0.26) m/s, Acel=(-1.65) m/s^2
t=4.07s -> Pos=(10.12) m, Vel=(0.20) m/s, Acel=(-1.39) m/s^2
t=4.10s -> Pos=(10.12) m, Vel=(0.16) m/s, Acel=(-1.08) m/s^2
t=4.13s -> Pos=(10.13) m, Vel=(0.13) m/s, Acel=(-0.77) m/s^2
t=4.17s -> Pos=(10.12) m, Vel=(0.11) m/s, Acel=(-0.51) m/s^2
t=4.20s -> Pos=(10.13) m, Vel=(0.10) m/s, Acel=(-0.35) m/s^2
t=4.23s -> Pos=(10.13) m, Vel=(0.10) m/s, Acel=(-0.31) m/s^2
t=4.27s -> Pos=(10.13) m, Vel=(0.09) m/s, Acel=(-0.34) m/s^2
t=4.30s -> Pos=(10.14) m, Vel=(0.08) m/s, Acel=(-0.41) m/s^2
t=4.33s -> Pos=(10.14) m, Vel=(0.06) m/s, Acel=(-0.45) m/s^2
t=4.37s -> Pos=(10.15) m, Vel=(0.04) m/s, Acel=(-0.45) m/s^2
t=4.40s -> Pos=(10.15) m, Vel=(0.02) m/s, Acel=(-0.40) m/s^2
t=4.43s -> Pos=(10.14) m, Vel=(0.02) m/s, Acel=(-0.36) m/s^2
